epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.924,0.88929,4.00022,1.38201,0.02573,0.20979,0.03296,0.02305,0.64023,4.51508,1.2219,0.000136561,0.000136561,0.000136561
2,229.956,0.7583,3.69199,1.29845,0.01768,0.92124,0.11607,0.08832,0.76767,4.15392,1.28449,0.000261921,0.000261921,0.000261921
3,340.878,0.77862,3.47281,1.30956,0.54369,0.25566,0.25157,0.20099,0.8723,3.93947,1.50872,0.00037352,0.00037352,0.00037352
4,451.979,0.8196,3.28105,1.34106,0.35067,0.35673,0.2955,0.2456,0.82358,3.6118,1.37373,0.000355076,0.000355076,0.000355076
5,564.466,0.82097,3.00731,1.32216,0.41934,0.30945,0.36437,0.30446,0.78969,3.51232,1.38576,0.000334434,0.000334434,0.000334434
6,675.366,0.82739,2.80746,1.31897,0.51757,0.42116,0.42512,0.34167,0.7961,3.18031,1.36023,0.000313792,0.000313792,0.000313792
7,789.168,0.79216,2.56491,1.28037,0.4313,0.45061,0.47453,0.37645,0.76652,2.98695,1.3359,0.000293151,0.000293151,0.000293151
8,903.68,0.75869,2.4871,1.27518,0.55293,0.53971,0.57942,0.47342,0.71738,2.74293,1.29938,0.000272509,0.000272509,0.000272509
9,1016.34,0.74711,2.31885,1.25308,0.64674,0.5293,0.59706,0.47881,0.72105,2.70973,1.3055,0.000251868,0.000251868,0.000251868
10,1127.21,0.71085,2.20828,1.25074,0.56005,0.62382,0.65138,0.53078,0.73031,2.49286,1.29927,0.000231226,0.000231226,0.000231226
11,1238.18,0.71479,2.5309,1.32932,0.60525,0.55531,0.62128,0.46534,0.72268,2.63972,1.27832,0.000210585,0.000210585,0.000210585
12,1349.24,0.63531,2.36082,1.29769,0.53553,0.73182,0.64752,0.53482,0.72397,2.40212,1.27355,0.000189943,0.000189943,0.000189943
13,1458.04,0.60708,2.25417,1.2374,0.62164,0.66493,0.684,0.56277,0.69582,2.34359,1.23958,0.000169302,0.000169302,0.000169302
14,1569.15,0.62358,2.16835,1.28638,0.69272,0.68595,0.7208,0.6049,0.67615,2.39886,1.222,0.00014866,0.00014866,0.00014866
15,1678.99,0.57853,2.0998,1.23019,0.70458,0.68454,0.72706,0.61668,0.68489,2.31351,1.24321,0.000128019,0.000128019,0.000128019
16,1789.8,0.59296,1.96618,1.23031,0.67026,0.68565,0.74067,0.60898,0.70192,2.16762,1.24782,0.000107378,0.000107378,0.000107378
17,1903.19,0.57303,1.85699,1.18394,0.68519,0.74304,0.75997,0.64324,0.68153,2.04158,1.22625,8.6736e-05,8.6736e-05,8.6736e-05
18,2082.17,0.55158,1.8032,1.17965,0.77487,0.72788,0.7663,0.6619,0.63454,2.00022,1.18235,6.60945e-05,6.60945e-05,6.60945e-05
19,2233.58,0.54092,1.76967,1.17874,0.7752,0.69858,0.76592,0.66235,0.62882,2.00224,1.17468,4.5453e-05,4.5453e-05,4.5453e-05
20,2362.35,0.50856,1.74674,1.13796,0.76368,0.70333,0.75346,0.63842,0.63712,2.02162,1.18316,2.48115e-05,2.48115e-05,2.48115e-05
